soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Araştırmacılar doğada bulunmanın sağlığa olan 3. “Yazdıkların kime hitap ediyor?” sorusuna verilmiş net bir cevabım yok. Bir iyelik ekiyle “okurlarım” demeyi de faydalarına işaret ediyor (dikkat çekiyor). Açık doğrusu beni hiç okumamış olanlara bir saygısızlık I olarak değerlendiriyorum. Ancak yine de boşluğa alanlarda vakit geçirmenin ruh sağlığı üzerinde yazdığımı söyleyemiyorum. Bu parçanın yazarı, altı çizili sözle hangi özelliğine koruyucu (önleyici) bir etkisi olduğunu, bu durumun vurgu yapmaktadır? II aynı zamanda ruhsal direnci (dayanıklılığı)",I B) II C)III D)IV E) V,Eserleriyle her düzeyde okur kitlesine seslenmeyi ışığında (kılavuzluğunda) planlamalar yapılırken öncelediğine IV doğayla temasın sağlanacağı unsurların bu planlara C)Seçtiği temalarla mevcut ve potansiyel okurlarını ayrıştırdığına dâhil edilmesinin (içine katılmasının) önemi V D)Sahiplendiği okurların duyarlılığını eserleriyle ortaya çıkıyor. geliştirmeye çalıştığına Bu parçada numaralanmış sözlerden hangisinin E) Yazılarıyla bütün okurların beğenisini kazanmayı anlamı parantez ( ) içinde verilen açıklamayla amaçladığına uyuşmamaktadır?,,,,,,TYT Türkçe,,Türkçe
"Attila, 447 yılında Doğu Roma’nın barış şartlarına 3. Ferhat Paşa Antlaşması’ndan sonra Safevilerin, ham uymaması üzerine II. Balkan Seferi’ne çıkmış ve Doğu ipeği Anadolu üzerinden geçirmeden Avrupa’ya ihraç Roma ile Anatolios Antlaşması’nı imzalamıştır. Bu etmeleri, Osmanlı ekonomisine zarar vermiştir. Bunun antlaşmaya göre Doğu Roma, Hunlara savaş tazminatı üzerine Osmanlı Devleti karşı önlem olarak İran’ın ödeyecek ve önceden ödediği vergi üç katına ihtiyacı olan başta gümüş olmak üzere kıymetli çıkarılacak, Hun sınır şehri Niş’te pazar kurulacak ve madenlerin İran’a ihracatını engellemiştir. Ayrıca Doğu Roma’nın asker bulundurabileceği alanlar Safeviler, Osmanlıların dışta Habsburglarla kısıtlanacaktır. mücadelesini ve içte Celâli İsyanları ile uğraşmasını fırsat bilerek Şirvan, Azerbaycan ve Gürcistan’ı Buna göre Osmanlı’dan geri almıştır. Anadolu’da devlet otoritesini I. antlaşma sonrasında Roma’nın ikiye ayrıldığı, yeniden kuran Sadrazam Kuyucu Murat Paşa’nın, Safeviler üzerine yürümesiyle Şah Abbas; II. Hunların ekonomik açıdan kazanımlar elde ettiği, Osmanlılardan barış istemiş ve sonuçta iki devlet III.Doğu Roma üzerinde Hunların, üstünlüğünü arasında 1612 yılında Nasuh Paşa Antlaşması devam ettirdiği imzalanmıştır. ifadelerinden hangilerine ulaşılabilir? Buna göre aşağıdakilerden hangisi söylenemez?",,"Safevilerin, ticari olarak Osmanlıları zor duruma düşürmek istediği C)İçeride yaşanan sorunların da etkisiyle Osmanlıların toprak kaybı yaşadığı",,,,,,TYT Türkçe,,Türkçe
"3. Selma, sarı ve mavi renklerden oluşan özdeş rasyonel sayıları kullanılarak mandallarla tasarladığı bir oyuncağın 1. adımında yere aynı grupta bulunan sayıların toplamı 1'e eşit olacak bir mandal koyuyor. Sonraki her adımda bir önceki adımda koyduğu tüm mandalların mavi kısımlarına şekilde, ikişer elemanlı iki grup oluşturuluyor. şekildeki gibi birer mandal takıp bir sonraki adıma Buna göre bu sayılardan hangisi oluşturulan geçiyor. Selma, bu oyuncağın ilk 3 adımını 7 mandal gruplarda yer almaz? kullanarak aşağıdaki gibi tamamlıyor.",28 B) 26 C)24 D)22 E) 20 22 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Türkçe,,Türkçe
"Kimi yazarlar romanın toplum hayatındaki aksaklıkların I ortadan kalkmasına yardım etmesini, ---- isterken kimileri olduğumuzu ve tanıdığımızı anlatmak isteriz. ise romanın bir toplum bilimi kitabı değil bir sanat eseri olduğunu, ondan ancak ---- beklenebileceğini ileri Gözü dönmek deyimi, aşırı istek veya öfke nedeniyle sürer. II Bu cümlede boş bırakılan yerlere sırasıyla kişinin saldıracak duruma gelmesini belirtir. aşağıdakilerden hangisi getirilmelidir? Göz kulak olmak, bir kimseyi veya nesneyi görüp",I B) II C)III D)IV E) V 1 Diğer sayfaya geçiniz. 2024-TYT/TÜR,gerçekleri yansıtmasını - kılavuzluk yapmasının IV veya durumu dikkatinden kaçırmak eylemini gösterir. C)güzellikleri anlatmasını - kusursuz dil kullanımının Göz açtırmamak ise birinin bir iş yapmasına fırsat D)ironiyi öne çıkarmasını - iyi bir anlatımın V vermemeyi ifade eder.,,,geleneği aktarmasını - mantıksal bir akışın Bu parçada numaralanmış deyimlerden hangisinin açıklaması yanlıştır?,,,TYT Türkçe,,Türkçe
satırında bulunan sayıların toplamına eşittir. Buna göre toplamı kaçtır?,99 B) 110 C)121 D)132 E) 143 26 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Türkçe,,Türkçe
"İzmir’in işgalinin ertesi günü Denizli Müftüsü Ahmet 6. Doğal sistemleri oluşturan dört temel ortamdan biri olan Hulusi Efendi “Her ne pahasına olursa olsun Yunanlara atmosferin, yeryüzündeki canlı ve cansız unsurlar karşı koymak gerekir. (…) Ben fetva veriyorum. Silah ve üzerinde çeşitli etkileri bulunmaktadır. cephane azlığı veya yokluğu hiçbir zaman kavgaya mani Buna göre olmayacaktır. Hiçbir müdafaa vasıtası olmayan bir Müslüman dahi yerden üç taş alarak düşmana atmaya I. Canlı yaşamı için gerekli olan gaz bileşenlerini mecburdur.” diyerek halkı mücadeleye çağırmıştır. sağlar. Buna göre aşağıdakilerden hangisi söylenebilir? II. Güneş enerjisinin doğrudan yeryüzüne ulaşmasını sağlar.",Yunan ordusunun İzmir’den çekilmesi için İtilaf III.Gök taşlarının yeryüzüne ulaşmasını büyük Devletleri ile iş birliği yapıldığı oranda engeller.,Mondros Mütarekesi sonrasında başlayan işgallere ifadelerinden hangileri bu etkilere örnek karşı ilk direnişin Denizli’de başladığı gösterilemez? C)İmkânsızlıklara rağmen işgal güçlerine karşı mücadele A)Yalnız I B)Yalnız II C)Yalnız III edilmesi gerektiği D)I ve II E)II ve III D)Damat Ferit Hükûmetinin işgallere karşı din adamlarını halkı örgütlemekle görevlendirdiği,,,İtilaf Devletlerinin işgallerin geçici olduğu yönündeki açıklamalarının halkı sakinleştirdiği,,,TYT Türkçe,,Türkçe
"Peyam-ı Sabah gazetesi muhabirinin “Lozan Barış Konferansı’na İstanbul Hükûmetinden bir heyet gidecek mi?” şeklindeki sorusuna Refet Paşa, “Mudanya Mütarekesi yalnız TBMM Hükûmeti adına imza edildi. Binaenaleyh bu defa da konferansta Türk Devleti’ni yalnız bu devletin yegâne meşru hükûmeti olan TBMM Hükûmeti temsil edebilir.” cevabını vermiştir. Lozan Konferansı öncesinde TBMM’nin aldığı ve Refet Paşa’nın bu görüşüyle aynı doğrultuda olan karar aşağıdakilerden hangisidir?",I B) II C)III D)IV E) V 15 Diğer sayfaya geçiniz. 2024-TYT/SOS,Saltanat sistemine son verilmesi C)Kabine sistemine geçilmesi D)Milletvekili seçimlerine gidilmesi,,,Takrir-i Sükûn Kanunu’nun çıkarılması Dağılışı gösterilen bu bitkiler haritada numaralandırılan alanların hangisinde görülür?,,,TYT Türkçe,,Türkçe
"Günümüzde yeni bir pencere açmak, eskinin boşluğuna dokunmakla mümkündür. Aşağıdakilerden hangisi bu cümleyle anlamca aynı doğrultudadır?","Yeni fikirler, gelenekle kurulan sürekliliği kopararak var olur.","Özgün düşünceler, geçmişte önemsenmeyenler keşfedilerek ortaya çıkar. C)Eskinin bıraktığı değerler, taşımakla yükümlü olunan kalıcı bir mirastır. D)Çağdaş bakış açısı, zihindeki geleneksel kodları yıkıma uğratır.",,,"Kendine yeni bir alan açmak, mevcut düşünceleri özümsemekle gerçekleşir. 2 Diğer sayfaya geçiniz. 2024-TYT/TÜR",,,TYT Türkçe,,Türkçe
"Bir mağazada satılan bir bulaşık makinesi, bir çamaşır 9. türünden bazı değerleri verilen, eşit bölmelere makinesi ve bir buzdolabının maliyet fiyatları sırasıyla ayrılmış aşağıdaki termometrelerden hangisi 18 bin, 22 bin ve b TL'dir. Bu ürünler, üçlü beyaz eşya sıcaklığı göstermektedir? takımı olarak birlikte satılmaktadır. Bu takım; bir buzdolabının maliyet fiyatının iki katının 30 bin TL","B) C) fazlasına satıldığında mağaza kâr etmekte, bir buzdolabının maliyet fiyatının üç katından 20 bin TL eksiğine satıldığında ise mağaza zarar etmektedir. Buna göre bir buzdolabının maliyet fiyatının alabileceği tüm değerleri ifade eden eşitsizlik aşağıdakilerden hangisidir?",,,E) E) 24 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,TYT Türkçe,,Türkçe
"(I) Yaz mevsiminin ilk günlerini ormanlarla, dağlarla ve denizle karşılamak için çevirdim rotamı Sinop’a. (II) Şehir merkezine gider gitmez, methini önceden duyduğum 11. Aşağıdaki cümlelerin hangisinde büyük harflerin yerel pazara uğradım ve kahvaltılıklarımı alıp doğruca yazımıyla ilgili yanlışlık yapılmıştır? limandaki çay bahçesine yöneldim. (III) Balığa giden",I B) II C)III D)IV E) V E) Yurt dışından gelen resmî heyeti bakan geçtiğimiz hafta Ankara’da kabul etti. 3 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,,,,,TYT Türkçe,,Türkçe
