soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Araştırmacılar doğada bulunmanın sağlığa olan 3. “Yazdıkların kime hitap ediyor?” sorusuna verilmiş net bir cevabım yok. Bir iyelik ekiyle “okurlarım” demeyi de faydalarına işaret ediyor (dikkat çekiyor). Açık doğrusu beni hiç okumamış olanlara bir saygısızlık I olarak değerlendiriyorum. Ancak yine de boşluğa alanlarda vakit geçirmenin ruh sağlığı üzerinde yazdığımı söyleyemiyorum. Bu parçanın yazarı, altı çizili sözle hangi özelliğine koruyucu (önleyici) bir etkisi olduğunu, bu durumun vurgu yapmaktadır? II aynı zamanda ruhsal direnci (dayanıklılığı)",I B) II C)III D)IV E) V,Eserleriyle her düzeyde okur kitlesine seslenmeyi ışığında (kılavuzluğunda) planlamalar yapılırken öncelediğine IV doğayla temasın sağlanacağı unsurların bu planlara C)Seçtiği temalarla mevcut ve potansiyel okurlarını ayrıştırdığına dâhil edilmesinin (içine katılmasının) önemi V D)Sahiplendiği okurların duyarlılığını eserleriyle ortaya çıkıyor. geliştirmeye çalıştığına Bu parçada numaralanmış sözlerden hangisinin E) Yazılarıyla bütün okurların beğenisini kazanmayı anlamı parantez ( ) içinde verilen açıklamayla amaçladığına uyuşmamaktadır?,,,,,,TYT Türkçe,,Türkçe
"Kimi yazarlar romanın toplum hayatındaki aksaklıkların I ortadan kalkmasına yardım etmesini, ---- isterken kimileri olduğumuzu ve tanıdığımızı anlatmak isteriz. ise romanın bir toplum bilimi kitabı değil bir sanat eseri olduğunu, ondan ancak ---- beklenebileceğini ileri Gözü dönmek deyimi, aşırı istek veya öfke nedeniyle sürer. II Bu cümlede boş bırakılan yerlere sırasıyla kişinin saldıracak duruma gelmesini belirtir. aşağıdakilerden hangisi getirilmelidir? Göz kulak olmak, bir kimseyi veya nesneyi görüp",I B) II C)III D)IV E) V 1 Diğer sayfaya geçiniz.,gerçekleri yansıtmasını - kılavuzluk yapmasının IV veya durumu dikkatinden kaçırmak eylemini gösterir. C)güzellikleri anlatmasını - kusursuz dil kullanımının Göz açtırmamak ise birinin bir iş yapmasına fırsat D)ironiyi öne çıkarmasını - iyi bir anlatımın V vermemeyi ifade eder.,,,geleneği aktarmasını - mantıksal bir akışın Bu parçada numaralanmış deyimlerden hangisinin açıklaması yanlıştır?,,,TYT Türkçe,,Türkçe
"I. İster ebeveyn isterse eğitimci olsun çoğu yetişkin, 6. (I) Parlak mor çizgileriyle bir masal kitabına aitmiş gibi çocuğunun okuduğu her kitaptan “iyi, yararlı ve görünen bir balık türü; Tanzanya açıklarında, Hint gündelik hayattaki pratiklerini kolaylaştıracağı” bir Okyanusu’nun 80 metre derinliklerinde keşfedildi. şeyler öğrenmesini beklemektedir. (II) Cirrhilabrus wakanda denilen bu balık, ismini çizgi II. Toplumun bazı kesimlerinde edebî eserler; roman evreninin süper kahraman hikâyesi Kara -onların oluşum yöntemi, araç ve süreçlerinin Panter’den alıyor. (III) Araştırmacılar balığın göz alıcı bilincinde olunmadığından- kurgusal renklerinin, Kara Panter’in ülkesi olan Wakanda halkının olmayan eğitsel amaçlı kitaplarla aynı kefeye geleneksel elbiselerini andırdığını söylüyor. (IV) Söz konulmaktadır. konusu tür, dalma limitlerini zorlayan derinliklerde yaşadığı için bulunduğu mercan resifleri alaca karanlık Verilen I. cümleyle ilgili aşağıdakilerden hangisi bölgesi olarak adlandırılıyor. (V) Herkes tarafından söylenebilir? ulaşılamayacak bir derinlikte kendine yaşam alanı bulan","I. cümlede, öne çıkan fiziksel özelliğinden C)II. cümlede ortaya konulan durum hakkında öngörüde bahsedilmiştir. bulunmaktadır.","II. cümlede, adının esinlenildiği kaynaktan söz D)II. cümlede verilen durumun koşulunu belirtmektedir. edilmiştir. C)III. cümlede, hikâyedeki halkın giysileriyle benzer",,,"V. cümlede, türlerinin devamlılığıyla ilgili bilgi verilmiştir.",,,TYT Türkçe,,Türkçe
"Bu caddenin taşlarının üzerinden yüzyıllar boyunca 10. Kirli bir sokaktan geçipköşkün merdivenlerini tırmandım. geçen insanların ayak seslerini takip edenler, bir kalenin I oya gibi işlenmiş kapısı önünde bulurlar izlerini. İlk bakışta hepsi birbirine benzeyen kapıların arasında II Bu cümledeki ögelerin dizilişi aşağıdakilerin düz tahta kapıyı tanıdım. Çaldığım kapı açıldığında az hangisinde sırasıyla verilmiştir? evvel yaşadığım keşmekeşten eser kalmamıştı. Zevkli",I B) II C)III D)IV E) V,"Zarf tümleci - özne - belirtili nesne - yüklem IV Yemyeşil bahçeden taşan huzur, geniş pencerelerden C)Özne - yer tamlayıcısı - yüklem - belirtili nesne ayaklarımın dibine doğru uzanıyordu. D)Zarf tümleci - belirtili nesne - yüklem - özne V Bu parçada numaralanmış tamlamalardanhangisi,",,,Belirtili nesne - yer tamlayıcısı - yüklem - özne türü bakımından diğerlerinden farklıdır?,,,TYT Türkçe,,Türkçe
"Birleşme sırasında kelimelerden her ikisi veya ikincisi 14. (I) Yıldırım Bayezid; kuşatılmış Niğbolu Kalesi’nden anlam değişmesine uğradığında bu tür birleşik kelimeler haber almak, düşmanın asker sayısını öğrenmek bitişik yazılır. niyetiyle Evrenos Bey’i kaleye yolladı. (II) Fakat Evrenos Bey ne düşmandan esir, ne de içeriden haber alabildi. Buna göre aşağıdaki cümlelerin hangisinde (III) Yıldırım’ın buna canı sıkıldı, uykuları kaçtı ve gece yazım yanlışı yapılmıştır? kimseye haber vermeden atına binip hızla kaleye gitti.","Sıcak yaz günlerinde dondurmanın yanında çokça (IV) Yüksek bir yere çıktı, biraz soluklanıp gök gürler gibi tüketilen tatlıların başında bülbülyuvası ve kadayıf gelir. bir sesle “Bre Doğan! Bre Doğan! Hâliniz nicedir?” diye bağırdı. (V) Zaten kale duvarının üzerinde bulunan","Ekim ve kasım ayları elma, nar, ayva ve beşbıyık gibi Doğan Bey, onun sesini duyunca “Merak buyurmayın meyvelerin pazar tezgâhlarını süslediği zamanlardır. Hünkârım! Her taraf muhkem, muhafızlar gece gündüz uyanık, yeteri kadar zahirem mevcut.” diye karşılık verdi. C)Çok sevdiği kavuniçi elbisesini dolaptan özenle çıkardı, Bu parçada numaralanmış cümlelerin hangisinde ütüleyerek ertesi gün giymek üzere hazırladı. virgül kullanımında yanlışlık yapılmıştır? D)Cırcırböceği ile karıncanın macerası, kardeşimin A) I B) II C)III D)IV E) V annemden ve benden en çok dinlediği masaldır.",,,Narçiçeği rengindeki şapkasıyla kalabalık içinde çok uzaklardan bile ayırt edilebiliyordu.,,,TYT Türkçe,,Türkçe
"Her dönemin temelde iki tür davranışı vardır ( ) Bir hiçbir şey kaybetmeyeceksinizdir.”. Başka bir deyişle taraftan tanık olduğunu “saklamak” ( ) diğer taraftan deneyerek her durumda kazanacaksınız. Zaten ise geleceğe “aktarmak” ister ( ) İşte bunlar ( ) hangi cebinizde olmayan bir bilgi, bir duygu veya bir şansın en şartlar altında ( ) hangi duygularla yazılmış olursa olsun fazla nasıl olmayacağını görmüş olacaksınız. Edison’un üretilen edebî eserlerin muhatap aldığı iki eşik olarak her başarısız deney sonrasında dediği gibi “Nasıl beliriyor. yapacağınızı bulamamış ama nasıl yapamayacağınızı Bu parçada boş bırakılan yerlere sırasıyla aşağıdaki görmüş olacaksınız.”. noktalama işaretlerinden hangileri getirilmelidir? Bu parçada Edison’dan söz edilmesinin nedeni","Aktarılan düşünceleri, farklı bir bakış açısı sunarak","(:) (;) (.) (,) (;) kabul ettirmek C)(:) (,) (.) (;) (,) B) Ortaya konan düşünceyle çelişen durumların da bulunduğunu göstermek D)(.) (;) (...) (;) (,) C)Tartışmacı bir içerik oluşturup okurların metne olan",,,Farklı düşünceleri karşılaştırarak okurları anlatılanlara ikna etmek 4 Diğer sayfaya geçiniz.,,,TYT Türkçe,,Türkçe
"(I) Gaziantep’in tarihini anlayabilmek için gezilecek 18. Bir yazar olarak uzun uzadıya irdelenmesi gerektiğini pek çok turistik ve kültürel mekân vardır. (II) Zeugma düşündüğüm taşra yalnızlığı diye bir kavram var. Bazen Mozaik Müzesi, şehri tanıyabilmek için mutlaka ziyaret çok ızdırap verici olsa da insanın kendisiyle baş başa edilmesi gereken durakların başında gelir. (III) 2011 kalabilmesi için oldukça faydalı bir yalnızlık bu. Kültürel yılında açılan yapı; mimari, teknolojik ve kültürel açıdan nispeten cılız ancak oldukça sevimli olan bu açıdan sadece şehrin değil dünyanın önde gelen şehirde ben, taşra yalnızlığını kurmacayla avantaja müzelerindendir. (IV) Zeugma şehrinden kalan eserlerin dönüştürmeye çabalayanlardanım. Bu hâl, beni kalem ve sergilendiği müzedeki buluntularla iki bin yıllık geçmişe kitaplarla dostluğa sevk ediyor. Ayrıca bu sınırlı alanda tanıklık edilebilir. (V) MÖ 300’de Büyük İskender’in oluşturduğum sonsuz kültür evreniyle merkezde “Selevkia Euphtrates” adıyla kurduğu yerleşim yeri, kurduğum yaşantıya bir alternatif bulduğuma Kommagene Krallığı’nın dört büyük şehrinden biridir. inanıyorum. (VI) Yaklaşık iki yüz elli yıl sonra Roma İmparatorluğu’na Aşağıdakilerden hangisi bu parçadaki düşünceyi bağlanan şehir, “köprü, geçit” anlamlarına gelen ve destekler niteliktedir? bugün müzeye de adını veren Zeugma olarak anılmaya başlanmıştır.","II B) III C)IV D)V E) VI C)Edebî metinler, taşra ve merkezdeki kültürün yakınlık kurmasını sağlar. D)Mekânı ve kimi olumsuz duyguları aşabilmek edebiyatla mümkün olur.",,,,,,,TYT Türkçe,,Türkçe
"Yaklaşık yedi milyon nüfusa sahip Hong Kong’da 21. Sherlock Homeless ile Nasıl Tanıştım? kelime yılda iki binden fazla yaya, trafik kazası geçiriyor. oyunlarıyla dolu bir eser. Kitap daha en başta ismiyle Bu oran, akıllı telefonların kullanılmasına bağlı olarak bile okuru bir oyunun içine çekiyor. Kitaba ilk göz gün geçtikçe artıyor çünkü insanlar karşıdan karşıya attığımda dedektif Sherlock Holmes’u okuyacağımı geçerken telefonlarına bakmaya devam ediyor. düşündüm. Tabii kitabın ismini yanlış okuduğumu Bu duruma çare arayan yetkililer, çözümü yaya sayfaları karıştırdıktan sonra fark ettim. Oysaki ben, geçitlerindeki işaret sistemini değiştirmekte buldu. Holmes’u değil “evsiz” anlamına gelen “Homeless”ı Tasarlanan bu sistemde yaya geçiş ışıkları zemine okuyacaktım. Yazar, kitabındaki on bir öyküsünde yansıtılıyor. Böylece karşıdan karşıya geçmek isteyen bilindik ifadelere ufak dokunuşlar yaparak, bunları farklı yayalar, kendileri için yeşil mi yoksa kırmızı mı yandığını anlamlara dönüştürerek okurundan uyanık ve özenli bir anlıyor. Henüz deneme aşamasındaki sistemin başarılı ikinci bakış bekliyor. Bu kelime oyunlarında yazarın olması durumunda ülke genelinde yaygınlık kazanacağı “İs bırakanlar unutulmaz.” ve “Ezberimde gül oya.” bekleniyor. şeklindeki cümlelerde olduğu gibi bazen bir kelime bazen de sadece bir harf değiştirmesi yeterli oluyor. Bu parçada söz edilen sistemin geliştirilme amacı aşağıdakilerden hangisidir? Bu parçada söz edilen yazarla ilgili aşağıdakilerin hangisine değinilmemiştir?",Akıllı telefon teknolojisi aracılığıyla yayalara güvenli bir trafik ortamı sunmak A) Bir dilsel unsur olarak söz oyunlarının öykülerindeki kullanımına,"Yayaların, karşıdan karşıya geçerken akıllı telefonlarına bakmalarının önüne geçmek B) Öykü kitabına okurun ilgisini çekecek biçimde bir başlık koyduğuna C)Yayaların, akıllı telefonlarını kullanırken trafik kurallarını takip etmelerini sağlamak C)Kendine özgü anlatımını kitabındaki tek bir öyküyle sınırlamadığına D)Yayaların karıştığı kazaların nedenlerini bulmak için akıllı telefonlardan yararlanmak D)Okurunu sözcüklere hatta harflere dikkatle odaklanmaya davet ettiğine",,,Akıllı telefon kullanımının kazaya neden olduğuna dair yayaları bilinçlendirmek E) Öykülerinde yerel kültürü yansıtan sözel anlatı kalıpları kullandığına,,,TYT Türkçe,,Türkçe
"Biz fark etsek de etmesek de yapay zekâ artık 25. Yazarın en büyük başarılarından biri eserlerinde hayatımızın bir parçası. Bu teknoloji sayesinde kendi üçüncüşahıs anlatımı kullanmasıdır. Burada anlatıcı; kendine park eden otomobillere, akıllı sensörlerin karakterlerinbütün zihinsel durumlarını, yaşadıklarını, yardımıyla çekilen muhteşem fotoğraflara kavuştuk. yönelimlerini bilmekte ve okura anlatmaktadır. Böylelikle Benzer şekilde eğitimde de yapay zekânın etkisi gün anlatıcı, duygu ve düşüncelerini karakterlerin de okurun geçtikçe daha çok hissediliyor ve geleneksel yöntemler da yüzüne açıkça dile getirebilmektedir. Geçmiş, şimdi büyük ölçüde farklılaşıyor. Eğitimciler, psikologlar ve ve geleceğin iç içe olduğu üçüncü şahıs anlatım, birinci ebeveynler arasında çocuklarımız için doğru ekran tekil şahsın imkânlarını da kullanarak her yönüyle hâkim süresi hakkında tartışmalar sürerken eğitimin şeklini ve bir bakış sunar. Böylece okur, karakterlerin hayatlarına geleceğini değiştiren yapay zekâ; dünyanın önde gelen ve akıllarından geçirdiklerine tanıklık edebilmektedir. ülkelerinde oyunun kurallarını belirlemeye başladı bile. Bu parçada söz edilen anlatıcıylailgili aşağıdakilerin Konuyla ilgili raporlara baktığımızda yapay zekânın hangisi söylenebilir? eğitimdeki yerinin yakın gelecekte çok büyük oranlara ulaşacağı görülüyor.",Bazı sektörlerde insana bağımlılığı azaltacağına okura aktarır.,Eğitim alanında daha fazla gelişim gösterdiğine C)İç çatışmalara yer vererek karakterleri tüm boyutlarıyla ele alır. C)Çocukların gelişimi üzerinde olumsuz etkilerinin olduğuna D)Kişilerin bilinmeyen yönlerini ortaya çıkararak eseri başarıya ulaştırır. D)Eğitimde kullanımının öğrenci başarısına katkı sağladığına E) Karakterleri arka planda tutarak okurun olaya odaklanmasını hedefler.,,,Eğitimde alışılagelmiş anlayışlarda değişikliğe yol açtığına,,,TYT Türkçe,,Türkçe
"İzmir dokuma imalatı; XVI ve XVII. yüzyıllarda pamuk 27. Özgünlük genellikle insanın kendisi olmasını içeren bir ipliği, pamuklu dokuma, çarşaf, gömlek ve keten bezi durum olarak görülür. Peki, özgünlük değişimi engelliyor üretimiyle ön plana çıkmıştır. XIX. yüzyıla kadar bu ve herkesi yerinde saymaya teşvik ediyorsa... İşte bunu ürünlerin geleneksel tarzda üretimi yapılmıştır. Zamanla sorgulamamız gerekir. İnsan, bazen amaçlarına ulaşmak şehrin kalabalıklaşması ve ticaret hacminin artması, seri için bir süreliğine maske takmak zorunda kalabilir. üretimin yapıldığı fabrikalaşmaya doğru ilk adımların Benzer şekilde özgünlük de insanları olduğu gibi atılmasını da beraberinde getirmiştir. Pamuk fabrikasının kalmaya ve başka perspektiflerden fikirleri görmezden açılması, boyahane ve basmahanelerin kurulması bu gelmeye itebilir. Bu bakımdan insanın benliğine olduğu adımlardandır. Ayrıca XIX. yüzyıla ait haritalarda hâliyle sadık kalmasının, dönüşebileceği her şeyden Boyahane Deresi’nin etrafında kümelenmiş yapıların kendini soyutlamasıyla eş değer olduğu söylenebilir. yer alması, şehirdeki tekstil ürünü boyamacılığının dere Bu parçadan aşağıdakilerin hangisine ulaşılabilir? etrafında yaygın olduğunu gösteren önemli bir kanıttır. Boyahanelerde bitkisel boyalar üretilmiş; “alizarin” veya",Geleneksel üretim metotları şehirdeki ticaret hacmini C)Doğru olduğuna inandığı şeyi kendi isteğiyle yapan sınırlandırmıştır. birey başarılı olabilir.,"Şehir nüfusunun artmasıyla birlikte fabrikasyon üretime D)İnsanın istekleri doğrultusunda kişiliğinden ödün geçiş sağlanmıştır. vermesi onu tutarsızlaştırır. C)Dokuma kumaşlarının üretimi şehrin belli bir E) İnsanın özgün olma uğruna yaptıkları, onu değişime bölgesinde yoğunlaşmıştır. kapalı bir hâle getirebilir. D)Farklı kumaş türlerinin üretimi sırasında birden fazla teknik kullanılmıştır.",,,Oluşturduğu modelle farklı sektörlerin gelişmesine ilham kaynağı olmuştur. 8 Diğer sayfaya geçiniz.,,,TYT Türkçe,,Türkçe
