soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,ders_ad,aciklama,image_url,cozum_videosu_url
"Bir fonksiyon f(x)=2^{x-1} + log₂(x²-3x+2) için tanım kümesi nedir?","x>1","x>2","x<1 veya x>2","x>0 ve x≠1,2","","C",5,"Fonksiyonlar,Logaritma","Matematik","(x-1)(x-2)>0 → x<1 veya x>2.","",""
"x+1/x=3 ise x³+1/x³=?","18","24","27","30","","A",5,"Üslü Sayılar,Cebir","Matematik","Kural: (x+1/x)³ = x³+1/x³+3(x+1/x).","",""
"Bir geometrik dizide a₁=2,a₅=162 ise r kaçtır?","2","3","4","5","","B",4,"Diziler,Geometrik Dizi","Matematik","a₅=a₁·r⁴ → 162=2r⁴ → r=3.","",""









