soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Aşağıdaki çizelgede bazı gaz örneklerine ait bilgiler ve 14. Hidrojen florür (HF), standart şartlarda gaz hâlde bu gazlardaki oksijen atomu sayıları K, L ve M harfleriyle bulunan ve suda çözünebilen bir maddedir. temsil edilecek şekilde verilmiştir. Hidrojen florürün sulu çözeltisi ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?",Cam yüzeyleri aşındırır.,"Sulu NaOH çözeltisi ile tepkimesinden tuz ve su oluşur. C)Mavi turnusol kâğıdının rengini kırmızıya çevirir. D)Aktif metallerle tepkimeye girerek H gazı açığa 2 çıkarır. Buna göre K, L ve M arasındaki ilişki aşağıdakilerin E)25 o C’de pH değeri 7’den büyüktür. hangisinde doğru verilmiştir? (Gazların ideal gaz olarak davrandığı varsayılacaktır. N O = 44 g/mol, Avogadro sayısı (N ) = 6,02x1023) 2 A A)K > L > M B)K > M > L C)L > K > M",,,,,,TYT Fen,,Fen Bilimleri
"Belirli bir sıcaklıkta, 80 gram tuz ile 120 gram su ifadelerinden hangileri doğrudur? karıştırılıyor. Daha fazla çözünme olmayıncaya kadar",20 B) 25 C)30 D)35 E) 40,,,,,,,TYT Fen,,Fen Bilimleri
Canlıların sınıflandırılmasında en üst kategoriden 20. Şekilde farklı besin zincirlerinin bir araya gelerek alt kategorilere doğru gidildikçe aşağıdakilerden oluşturduğu bir besin ağı verilmiştir. hangisinin görülmesi beklenmez?,Hem K hem de L ototrof organizmalardır.,Taksonlar arasındaki akrabalık derecesi artar. C)Birey sayısı azalır. D)Taksonlar arasındaki protein benzerliği artar.,,,Canlı çeşitliliği azalır. Bu besin ağı ile ilgili aşağıdakilerden hangisi söylenemez?,,,TYT Fen,,Fen Bilimleri
"Hemofili, X kromozomu üzerindeki çekinik bir alel tarafından kalıtılan bir hastalıktır. Aşağıda bu hastalığın bir ailedeki kalıtımı gösterilmiştir. Buna göre 1 ve 2 numaralı bireylerin evliliğinden doğacak çocuğun hemofili olma olasılığı kaçtır?",1/16 B) 1/8 C)1/4 D)1/2 E) 1 TEST BİTTİ. 39 CEVAPLARINIZI KONTROL EDİNİZ. 2024 TEMEL YETERLİLİK TESTİ (TYT) 2024 YKS 1. OTURUM TEMEL YETERLİLİK TESTİ (TYT) 08-06-2024 TÜRKÇE TESTİ SOSYAL BİLİMLER TESTİ TEMEL MATEMATİK TESTİ FEN BİLİMLERİ TESTİ,,,,,,,TYT Fen,,Fen Bilimleri
"3. Selma, sarı ve mavi renklerden oluşan özdeş rasyonel sayıları kullanılarak mandallarla tasarladığı bir oyuncağın 1. adımında yere aynı grupta bulunan sayıların toplamı 1'e eşit olacak bir mandal koyuyor. Sonraki her adımda bir önceki adımda koyduğu tüm mandalların mavi kısımlarına şekilde, ikişer elemanlı iki grup oluşturuluyor. şekildeki gibi birer mandal takıp bir sonraki adıma Buna göre bu sayılardan hangisi oluşturulan geçiyor. Selma, bu oyuncağın ilk 3 adımını 7 mandal gruplarda yer almaz? kullanarak aşağıdaki gibi tamamlıyor.",28 B) 26 C)24 D)22 E) 20 22 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Sosyal,,Sosyal Bilimler
satırında bulunan sayıların toplamına eşittir. Buna göre toplamı kaçtır?,99 B) 110 C)121 D)132 E) 143 26 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Sosyal,,Sosyal Bilimler
"Bir mağazada satılan bir bulaşık makinesi, bir çamaşır 9. türünden bazı değerleri verilen, eşit bölmelere makinesi ve bir buzdolabının maliyet fiyatları sırasıyla ayrılmış aşağıdaki termometrelerden hangisi 18 bin, 22 bin ve b TL'dir. Bu ürünler, üçlü beyaz eşya sıcaklığı göstermektedir? takımı olarak birlikte satılmaktadır. Bu takım; bir buzdolabının maliyet fiyatının iki katının 30 bin TL","B) C) fazlasına satıldığında mağaza kâr etmekte, bir buzdolabının maliyet fiyatının üç katından 20 bin TL eksiğine satıldığında ise mağaza zarar etmektedir. Buna göre bir buzdolabının maliyet fiyatının alabileceği tüm değerleri ifade eden eşitsizlik aşağıdakilerden hangisidir?",,,E) E) 24 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,TYT Sosyal,,Sosyal Bilimler
"Dik koordinat düzleminde f, g ve h fonksiyonlarının 14. A, B ve C birbirinden farklı rakamlar olmak üzere grafikleri şekilde verilmiştir. A rakamı B rakamının, B rakamı ise C rakamının birer tam sayı katıdır. ABC üç basamaklı doğal sayısı 3 ile tam bölünebildiğine göre bu sayının rakamları çarpımı kaçtır?",21 B) 22 C)23 D)24 E) 25,,D) Örneğin 552 ve 255 birer bitişik sayıdır. E) AB1 ve BC4 sayıları birer bitişik sayı olduğuna göre toplamı kaçtır?,,,,,TYT Sosyal,,Sosyal Bilimler
"30 gün için bir yürüyüş planı yapan Merve, ilk gün belirli",30 B) 35 C)40 D)45 E) 50 27 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Sosyal,,Sosyal Bilimler
"Vücut kitle indeksi (VKİ), bir kişinin vücudundaki tahmini 23. Bir kentte bulunan fabrikaların her biri gıda, mobilya, yağ oranını gösteren bir hesaplama yöntemidir. Bu plastik ve tekstil alanlarından yalnızca birinde üretim yöntemde öncelikle kişinin kilogram türünden ağırlığı ve yapmaktadır. Bu fabrikaların üretim alanlarına göre metre türünden boy uzunluğu ölçülür. Daha sonra sayıca dağılımı Şekil 1’deki daire grafiğinde kişinin ağırlığının boyunun karesine bölünmesiyle gösterilmiştir. o kişiye ait VKİ hesaplanır. Aşağıdaki tabloda, belirli yaş aralıklarına göre ideal VKİ aralıkları verilmiştir. 30 yaşındaki İlayda’nın yaşına uygun en küçük ideal VKİ Bu fabrikaların toplam 54 tanesi ihracat yapmaktadır. değerindeki ağırlığı ile en büyük ideal VKİ değerindeki Her bir üretim alanı için o alanda üretim yapan ağırlığı arasındaki fark 12,8 kilogram olarak fabrikalardan ihracat yapanların sayısının, o alanda hesaplanmıştır. üretim yapan toplam fabrika sayısına oranı yüzde olarak Şekil 2’deki sütun grafiğinde gösterilmiştir. Buna göre İlayda’nın boyu kaç metredir?",96 B) 120 C)144 D)154 E) 180 29 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Sosyal,,Sosyal Bilimler
