soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"“Yazdıkların kime hitap ediyor?” sorusuna verilmiş net bir cevabım yok. Bir iyelik ekiyle “okurlarım” demeyi de faydalarına işaret ediyor (dikkat çekiyor). Açık doğrusu beni hiç okumamış olanlara bir saygısızlık I olarak değerlendiriyorum. Ancak yine de boşluğa alanlarda vakit geçirmenin ruh sağlığı üzerinde yazdığımı söyleyemiyorum. Bu parçanın yazarı, altı çizili sözle hangi özelliğine koruyucu (önleyici) bir etkisi olduğunu, bu durumun vurgu yapmaktadır? II aynı zamanda ruhsal direnci (dayanıklılığı) III ürettiğine artıracağını söylüyor. Araştırmacıların bulguları ışığında (kılavuzluğund IV doğayla temasın sağlanacağı unsurların bu planlara C)Seçtiği temalarla mevcut ve potansiyel okurlarını ayrıştırdığına dâhil edilmesinin (içine katılmasının) önemi V D)Sahiplendiği okurların duyarlılığını eserleriyle ortaya çıkıyor. geliştirmeye çalıştığına Bu parçada numaralanmış sözlerden hangisinin anlamı parantez ( ) içinde verilen açıklamayla amaçladığına uyuşmamaktadır?",Eserlerini zihninde tasarladığı bir kitleye yönelik olarak,Eserleriyle her düzeyde okur kitlesine seslenmeyi,,,Yazılarıyla bütün okurların beğenisini kazanmayı,,,TYT Türkçe,,Türkçe
"Deyimlerin bir kısmı gözle ilgilidir. Örneğin gözü ısırmak deyimiyle o kişiyi daha önce görmüş 2. Kimi yazarlar romanın toplum hayatındaki aksaklıkların I ortadan kalkmasına yardım etmesini, ---- isterken kimileri olduğumuzu ve tanıdığımızı anlatmak isteriz. ise romanın bir toplum bilimi kitabı değil bir sanat eseri olduğunu, ondan ancak ---- beklenebileceğini ileri Gözü dönmek deyimi, aşırı istek veya öfke nedeniyle sürer. II Bu cümlede boş bırakılan yerlere sırasıyla kişinin saldıracak duruma gelmesini belirtir. aşağıdakilerden hangisi getirilmelidir? Göz kulak olmak, bir kimseyi veya nesneyi görüp III gözetmek durumunu belirtir. Gözden düşmek, bir iş IV veya durumu dikkatinden kaçırmak eylemini gösterir. C)güzellikleri anlatmasını - kusursuz dil kullanımının Göz açtırmamak ise birinin bir iş yapmasına fırsat D)ironiyi öne çıkarmasını - iyi bir anlatımın V vermemeyi ifade eder. Bu parçada numaralanmış deyimlerden hangisinin açıklaması yanlıştır? 1 Diğer sayfaya geçiniz. 2024-TYT/TÜR",doğru yolu göstermesini - edebî güzelliğin,gerçekleri yansıtmasını - kılavuzluk yapmasının,,,geleneği aktarmasını - mantıksal bir akışın,,,TYT Türkçe,,Türkçe
"(I) Parlak mor çizgileriyle bir masal kitabına aitmiş gibi çocuğunun okuduğu her kitaptan “iyi, yararlı ve görünen bir balık türü; Tanzanya açıklarında, Hint gündelik hayattaki pratiklerini kolaylaştıracağı” bir Okyanusu’nun 80 metre derinliklerinde keşfedildi. şeyler öğrenmesini beklemektedir. (II) Cirrhilabrus wakanda denilen bu balık, ismini çizgi II. Toplumun bazı kesimlerinde edebî eserler; roman evreninin süper kahraman hikâyesi Kara -onların oluşum yöntemi, araç ve süreçlerinin Panter’den alıyor. (III) Araştırmacılar balığın göz alıcı bilincinde olunmadığından- kurgusal renklerinin, Kara Panter’in ülkesi olan Wakanda halkının olmayan eğitsel amaçlı kitaplarla aynı kefeye geleneksel elbiselerini andırdığını söylüyor. (IV) Söz konulmaktadır. konusu tür, dalma limitlerini zorlayan derinliklerde yaşadığı için bulunduğu mercan resifleri alaca karanlık Verilen I. cümleyle ilgili aşağıdakilerden hangisi bölgesi olarak adlandırılıyor. (V) Herkes tarafından söylenebilir? ulaşılamayacak bir derinlikte kendine yaşam alanı bulan yapmaktadır. Bu parçada numaralanmış cümlelerde söz edilen Cirrhilabrus wakanda ile ilgili aşağıdakilerden hangisi yanlıştır? bahsetmektedir. C)II. cümlede ortaya konulan durum hakkında öngörüde bahsedilmiştir. bulunmaktadır. D)II. cümlede verilen durumun koşulunu belirtmektedir. edilmiştir. C)III. cümlede, hikâyedeki halkın giysileriyle benzer yönüne değinilmiştir. bilgi sunmaktadır. D)IV. cümlede, yaşadığı bölgeyi seçme nedenleri ifade edilmiştir. verilmiştir.","II. cümlede yer alan açıklamaya yönelik karşılaştırma bu tür, böylelikle neslinin sürekliliğini garanti altına alıyor.",II. cümlede belirtilen durumun yol açtığı bir sonuçtan,,,II. cümlede yapılan açıklamayı çürütmek için yeni bir,,,TYT Türkçe,,Türkçe
"Günümüzde yeni bir pencere açmak, eskinin boşluğuna dokunmakla mümkündür. Aşağıdakilerden hangisi bu cümleyle anlamca aynı doğrultudadır? var olur. keşfedilerek ortaya çıkar. C)Eskinin bıraktığı değerler, taşımakla yükümlü olunan kalıcı bir mirastır. D)Çağdaş bakış açısı, zihindeki geleneksel kodları yıkıma uğratır. özümsemekle gerçekleşir. 2 Diğer sayfaya geçiniz. 2024-TYT/TÜR","Yeni fikirler, gelenekle kurulan sürekliliği kopararak","Özgün düşünceler, geçmişte önemsenmeyenler",,,"Kendine yeni bir alan açmak, mevcut düşünceleri",,,TYT Türkçe,,Türkçe
"Bu caddenin taşlarının üzerinden yüzyıllar boyunca 10. Kirli bir sokaktan geçipköşkün merdivenlerini tırmandım. geçen insanların ayak seslerini takip edenler, bir kalenin I oya gibi işlenmiş kapısı önünde bulurlar izlerini. İlk bakışta hepsi birbirine benzeyen kapıların arasında II Bu cümledeki ögelerin dizilişi aşağıdakilerin düz tahta kapıyı tanıdım. Çaldığım kapı açıldığında az hangisinde sırasıyla verilmiştir? evvel yaşadığım keşmekeşten eser kalmamıştı. Zevkli III döşenmiş bir evin odasında bulmuştum kendimi. IV Yemyeşil bahçeden taşan huzur, geniş pencerelerden C)Özne - yer tamlayıcısı - yüklem - belirtili nesne ayaklarımın dibine doğru uzanıyordu. D)Zarf tümleci - belirtili nesne - yüklem - özne V Bu parçada numaralanmış tamlamalardanhangisi, türü bakımından diğerlerinden farklıdır?",Özne - yüklem - belirtili nesne,Zarf tümleci - özne - belirtili nesne - yüklem,,,Belirtili nesne - yer tamlayıcısı - yüklem - özne,,,TYT Türkçe,,Türkçe
"Kirli bir sokaktan geçipköşkün merdivenlerini tırmandım. geçen insanların ayak seslerini takip edenler, bir kalenin I oya gibi işlenmiş kapısı önünde bulurlar izlerini. İlk bakışta hepsi birbirine benzeyen kapıların arasında II Bu cümledeki ögelerin dizilişi aşağıdakilerin düz tahta kapıyı tanıdım. Çaldığım kapı açıldığında az hangisinde sırasıyla verilmiştir? evvel yaşadığım keşmekeşten eser kalmamıştı. Zevkli III döşenmiş bir evin odasında bulmuştum kendimi. IV Yemyeşil bahçeden taşan huzur, geniş pencerelerden C)Özne - yer tamlayıcısı - yüklem - belirtili nesne ayaklarımın dibine doğru uzanıyordu. D)Zarf tümleci - belirtili nesne - yüklem - özne V Bu parçada numaralanmış tamlamalardanhangisi, türü bakımından diğerlerinden farklıdır? 9. (I) Yaz mevsiminin ilk günlerini ormanlarla, dağlarla ve denizle karşılamak için çevirdim rotamı Sinop’a. (II) Şehir merkezine gider gitmez, methini önceden duyduğum",Özne - yüklem - belirtili nesne,Zarf tümleci - özne - belirtili nesne - yüklem,,,Belirtili nesne - yer tamlayıcısı - yüklem - özne,,,TYT Türkçe,,Türkçe
"Aşağıdaki cümlelerin hangisinde büyük harflerin yerel pazara uğradım ve kahvaltılıklarımı alıp doğruca yazımıyla ilgili yanlışlık yapılmıştır? limandaki çay bahçesine yöneldim. (III) Balığa giden sandalları ve küçük tekneleri izlemek, Sinop’ta neler olup Millî Parkı bu yıl tekrar açıldı. bittiğini öğrenmek için bu çay bahçeleri en doğru adres. (IV) Yalı Kahvesi’nde denize nazır bir masaya yerleşip müşterilerinin adını, kahvesini yahut çayını nasıl içtiğini yanında etkinliklerle kutladı. bildiği rivayet edilen Mükremin’den bir çay da ben istedim. (V) Sinopluların hiçbir içeceği, soğuk tüketmeyi C)Türk tarihi açısından 29 Mayıs 1453 Salı günü kutlu bir sevmediğini öğrendim Mükremin’in getirdiği sımsıcak fetih gerçekleşti. çayı yudumlarken. D)Kutlamalar için şehrin en güzel yeri olan Zafer Meydanı Bu parçada numaralanmış cümlelerden hangisi, tercih edildi. yükleminin türüne göre diğerlerinden farklıdır? hafta Ankara’da kabul etti. 3 Diğer sayfaya geçiniz. 2024-TYT/TÜR",Uzun süreden beri ziyarete kapalı olan Yozgat Çamlığı,"Türkiye Cumhuriyeti, yüzüncü yılını ülkenin dört bir",,,V E) Yurt dışından gelen resmî heyeti bakan geçtiğimiz,,,TYT Türkçe,,Türkçe
"Birleşme sırasında kelimelerden her ikisi veya ikincisi 14. (I) Yıldırım Bayezid; kuşatılmış Niğbolu Kalesi’nden anlam değişmesine uğradığında bu tür birleşik kelimeler haber almak, düşmanın asker sayısını öğrenmek bitişik yazılır. niyetiyle Evrenos Bey’i kaleye yolladı. (II) Fakat Evrenos Bey ne düşmandan esir, ne de içeriden haber alabildi. Buna göre aşağıdaki cümlelerin hangisinde (III) Yıldırım’ın buna canı sıkıldı, uykuları kaçtı ve gece yazım yanlışı yapılmıştır? kimseye haber vermeden atına binip hızla kaleye gitti. tüketilen tatlıların başında bülbülyuvası ve kadayıf gelir. bir sesle “Bre Doğan! Bre Doğan! Hâliniz nicedir?” diye bağırdı. (V) Zaten kale duvarının üzerinde bulunan meyvelerin pazar tezgâhlarını süslediği zamanlardır. Hünkârım! Her taraf muhkem, muhafızlar gece gündüz uyanık, yeteri kadar zahirem mevcut.” diye karşılık verdi. C)Çok sevdiği kavuniçi elbisesini dolaptan özenle çıkardı, Bu parçada numaralanmış cümlelerin hangisinde ütüleyerek ertesi gün giymek üzere hazırladı. virgül kullanımında yanlışlık yapılmıştır? D)Cırcırböceği ile karıncanın macerası, kardeşimin annemden ve benden en çok dinlediği masaldır. uzaklardan bile ayırt edilebiliyordu. 15. Bir şeyi denemenin risk olduğunu düşünmek büyük bir yanılgıdır. Hâlbuki denememek, risk almaktır. Çünkü Pascal’ın dediği gibi çabalarınız sonucunda “Kazanırsanız her şeyi kazanacak, kaybederseniz de","Sıcak yaz günlerinde dondurmanın yanında çokça (IV) Yüksek bir yere çıktı, biraz soluklanıp gök gürler gibi","Ekim ve kasım ayları elma, nar, ayva ve beşbıyık gibi Doğan Bey, onun sesini duyunca “Merak buyurmayın",,,V annemden ve benden en çok dinlediği masaldır. E) Narçiçeği rengindeki şapkasıyla kalabalık içinde çok uzaklardan bile ayırt edilebiliyordu.,,,TYT Türkçe,,Türkçe
"Her dönemin temelde iki tür davranışı vardır ( ) Bir hiçbir şey kaybetmeyeceksinizdir.”. Başka bir deyişle taraftan tanık olduğunu “saklamak” ( ) diğer taraftan deneyerek her durumda kazanacaksınız. Zaten ise geleceğe “aktarmak” ister ( ) İşte bunlar ( ) hangi cebinizde olmayan bir bilgi, bir duygu veya bir şansın en şartlar altında ( ) hangi duygularla yazılmış olursa olsun fazla nasıl olmayacağını görmüş olacaksınız. Edison’un üretilen edebî eserlerin muhatap aldığı iki eşik olarak her başarısız deney sonrasında dediği gibi “Nasıl beliriyor. yapacağınızı bulamamış ama nasıl yapamayacağınızı Bu parçada boş bırakılan yerlere sırasıyla aşağıdaki görmüş olacaksınız.”. noktalama işaretlerinden hangileri getirilmelidir? Bu parçada Edison’dan söz edilmesinin nedeni C)(:) (,) (.) (;) (,) bulunduğunu göstermek D)(.) (;) (...) (;) (,) C)Tartışmacı bir içerik oluşturup okurların metne olan D)Anlatılanlara somut bir örnek vererek anlatımı güçlendirmek ikna etmek 4 Diğer sayfaya geçiniz. 2024-TYT/TÜR","(.) (,) (...) (;) (,) aşağıdakilerden hangisidir?","(:) (;) (.) (,) (;) kabul ettirmek",,,"(:) (,) (.) (,) (;) ilgisini canlı tutmak",,,TYT Türkçe,,Türkçe
"(I) Yıldırım Bayezid; kuşatılmış Niğbolu Kalesi’nden anlam değişmesine uğradığında bu tür birleşik kelimeler haber almak, düşmanın asker sayısını öğrenmek bitişik yazılır. niyetiyle Evrenos Bey’i kaleye yolladı. (II) Fakat Evrenos Bey ne düşmandan esir, ne de içeriden haber alabildi. Buna göre aşağıdaki cümlelerin hangisinde (III) Yıldırım’ın buna canı sıkıldı, uykuları kaçtı ve gece yazım yanlışı yapılmıştır? kimseye haber vermeden atına binip hızla kaleye gitti. tüketilen tatlıların başında bülbülyuvası ve kadayıf gelir. bir sesle “Bre Doğan! Bre Doğan! Hâliniz nicedir?” diye bağırdı. (V) Zaten kale duvarının üzerinde bulunan meyvelerin pazar tezgâhlarını süslediği zamanlardır. Hünkârım! Her taraf muhkem, muhafızlar gece gündüz uyanık, yeteri kadar zahirem mevcut.” diye karşılık verdi. C)Çok sevdiği kavuniçi elbisesini dolaptan özenle çıkardı, Bu parçada numaralanmış cümlelerin hangisinde ütüleyerek ertesi gün giymek üzere hazırladı. virgül kullanımında yanlışlık yapılmıştır? D)Cırcırböceği ile karıncanın macerası, kardeşimin annemden ve benden en çok dinlediği masaldır. uzaklardan bile ayırt edilebiliyordu.","Sıcak yaz günlerinde dondurmanın yanında çokça (IV) Yüksek bir yere çıktı, biraz soluklanıp gök gürler gibi","Ekim ve kasım ayları elma, nar, ayva ve beşbıyık gibi Doğan Bey, onun sesini duyunca “Merak buyurmayın",,,V annemden ve benden en çok dinlediği masaldır. E) Narçiçeği rengindeki şapkasıyla kalabalık içinde çok uzaklardan bile ayırt edilebiliyordu.,,,TYT Türkçe,,Türkçe
