soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,ders_ad,aciklama,image_url,cozum_videosu_url
Araştırmacılar doğada bulunmanın sağlığa olan 3. “Yazdıkların kime hitap ediyor?” sorusuna verilmiş net,I B) II C)III D)IV E) V,Eserleriyle her düzeyde okur kitlesine seslenmeyi ışığında (kılavuzluğunda) planlamalar yapılırken öncelediğine IV doğayla temasın sağlanacağı unsurların bu planlara C)Seçtiği temalarla mevcut ve potansiyel okurlarını ayrıştırdığına dâhil edilmesinin (içine katılmasının) önemi V D)Sahiplendiği okurların duyarlılığını eserleriyle ortaya çıkıyor. geliştirmeye çalıştığına Bu parçada numaralanmış sözlerden hangisinin E) Yazılarıyla bütün okurların beğenisini kazanmayı anlamı parantez ( ) içinde verilen açıklamayla amaçladığına uyuşmamaktadır?,,,,,,TYT Matematik,Matematik,,,
Kimi yazarlar romanın toplum hayatındaki aksaklıkların,I B) II C)III D)IV E) V,gerçekleri yansıtmasını - kılavuzluk yapmasının IV veya durumu dikkatinden kaçırmak eylemini gösterir. C)güzellikleri anlatmasını - kusursuz dil kullanımının Göz açtırmamak ise birinin bir iş yapmasına fırsat D)ironiyi öne çıkarmasını - iyi bir anlatımın V vermemeyi ifade eder.,,,geleneği aktarmasını - mantıksal bir akışın Bu parçada numaralanmış deyimlerden hangisinin açıklaması yanlıştır? 1 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Matematik,Matematik,,,
"I. İster ebeveyn isterse eğitimci olsun çoğu yetişkin, 6. (I) Parlak mor çizgileriyle bir masal kitabına aitmiş gibi","I. cümlede, öne çıkan fiziksel özelliğinden","II. cümlede, adının esinlenildiği kaynaktan söz D)II. cümlede verilen durumun koşulunu belirtmektedir. edilmiştir. C)III. cümlede, hikâyedeki halkın giysileriyle benzer",,,"V. cümlede, türlerinin devamlılığıyla ilgili bilgi verilmiştir.",,,TYT Matematik,Matematik,,,
"Günümüzde yeni bir pencere açmak, eskinin boşluğuna","Yeni fikirler, gelenekle kurulan sürekliliği kopararak var olur.","Özgün düşünceler, geçmişte önemsenmeyenler keşfedilerek ortaya çıkar. C)Eskinin bıraktığı değerler, taşımakla yükümlü olunan kalıcı bir mirastır. D)Çağdaş bakış açısı, zihindeki geleneksel kodları yıkıma uğratır.",,,"Kendine yeni bir alan açmak, mevcut düşünceleri özümsemekle gerçekleşir. 2 Diğer sayfaya geçiniz. 2024-TYT/TÜR",,,TYT Matematik,Matematik,,,
Bu caddenin taşlarının üzerinden yüzyıllar boyunca 10. Kirli bir sokaktan geçipköşkün merdivenlerini tırmandım.,I B) II C)III D)IV E) V,"Zarf tümleci - özne - belirtili nesne - yüklem IV Yemyeşil bahçeden taşan huzur, geniş pencerelerden C)Özne - yer tamlayıcısı - yüklem - belirtili nesne ayaklarımın dibine doğru uzanıyordu. D)Zarf tümleci - belirtili nesne - yüklem - özne V Bu parçada numaralanmış tamlamalardanhangisi,",,,Belirtili nesne - yer tamlayıcısı - yüklem - özne türü bakımından diğerlerinden farklıdır?,,,TYT Matematik,Matematik,,,
"(I) Yaz mevsiminin ilk günlerini ormanlarla, dağlarla ve",I B) II C)III D)IV E) V E) Yurt dışından gelen resmî heyeti bakan geçtiğimiz hafta Ankara’da kabul etti. 3 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,,,,,TYT Matematik,Matematik,,,
Birleşme sırasında kelimelerden her ikisi veya ikincisi 14. (I) Yıldırım Bayezid; kuşatılmış Niğbolu Kalesi’nden,"Sıcak yaz günlerinde dondurmanın yanında çokça (IV) Yüksek bir yere çıktı, biraz soluklanıp gök gürler gibi tüketilen tatlıların başında bülbülyuvası ve kadayıf gelir. bir sesle “Bre Doğan! Bre Doğan! Hâliniz nicedir?” diye bağırdı. (V) Zaten kale duvarının üzerinde bulunan","Ekim ve kasım ayları elma, nar, ayva ve beşbıyık gibi Doğan Bey, onun sesini duyunca “Merak buyurmayın meyvelerin pazar tezgâhlarını süslediği zamanlardır. Hünkârım! Her taraf muhkem, muhafızlar gece gündüz uyanık, yeteri kadar zahirem mevcut.” diye karşılık verdi. C)Çok sevdiği kavuniçi elbisesini dolaptan özenle çıkardı, Bu parçada numaralanmış cümlelerin hangisinde ütüleyerek ertesi gün giymek üzere hazırladı. virgül kullanımında yanlışlık yapılmıştır? D)Cırcırböceği ile karıncanın macerası, kardeşimin A) I B) II C)III D)IV E) V annemden ve benden en çok dinlediği masaldır.",,,Narçiçeği rengindeki şapkasıyla kalabalık içinde çok uzaklardan bile ayırt edilebiliyordu.,,,TYT Matematik,Matematik,,,
Her dönemin temelde iki tür davranışı vardır ( ) Bir,"Aktarılan düşünceleri, farklı bir bakış açısı sunarak","(:) (;) (.) (,) (;) kabul ettirmek C)(:) (,) (.) (;) (,) B) Ortaya konan düşünceyle çelişen durumların da bulunduğunu göstermek D)(.) (;) (...) (;) (,) C)Tartışmacı bir içerik oluşturup okurların metne olan",,,Farklı düşünceleri karşılaştırarak okurları anlatılanlara ikna etmek 4 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Matematik,Matematik,,,
(I) Gaziantep’in tarihini anlayabilmek için gezilecek 18. Bir yazar olarak uzun uzadıya irdelenmesi gerektiğini,"II B) III C)IV D)V E) VI C)Edebî metinler, taşra ve merkezdeki kültürün yakınlık kurmasını sağlar. D)Mekânı ve kimi olumsuz duyguları aşabilmek edebiyatla mümkün olur.",,,,,,,TYT Matematik,Matematik,,,
"(I) Modern tıbbın temelinde yer alan Hipokrat yemini,",I B) II C)III D)IV E) V 5 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,,"Edebiyatla uğraşmak kalabalıklara karşı takınılan tavrı tıp biliminin etik prensiplerini yansıtır. (II) Hipokrat’ın belirler. benimsediği ilkelerden biri bugün de geçerliğini korur: İnsanların, akılcı açıklamaları olan “doğal” nedenler yüzünden hastalandığı. (III) Hâlbuki Hipokrat ve takipçilerinden önce Yunanistan’da ve ona komşu ülkelerde hastalıkların doğaüstü bir boyutu olduğu varsayılıyordu. (IV) Tanrılara karşı gelindiği veya doğaüstü güçleri olan biri tarafından büyü yapıldığı için hastalıkların ortaya çıktığı düşünülüyordu. (V) Hastalıklara doğaüstü güçler yol açabiliyorsa tedavi yöntemlerini de rahiplere veya büyücülere bırakmanın en iyi çözüm olacağı düşüncesine sahiplerdi. Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır?",,,TYT Matematik,Matematik,,,
