soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Araştırmacılar doğada bulunmanın sağlığa olan 3. “Yazdıkların kime hitap ediyor?” sorusuna verilmiş net bir cevabım yok. Bir iyelik ekiyle “okurlarım” demeyi de faydalarına işaret ediyor (dikkat çekiyor). Açık doğrusu beni hiç okumamış olanlara bir saygısızlık I olarak değerlendiriyorum. Ancak yine de boşluğa alanlarda vakit geçirmenin ruh sağlığı üzerinde yazdığımı söyleyemiyorum. Bu parçanın yazarı, altı çizili sözle hangi özelliğine koruyucu (önleyici) bir etkisi olduğunu, bu durumun vurgu yapmaktadır? II aynı zamanda ruhsal direnci (dayanıklılığı)",I B) II C)III D)IV E) V,Eserleriyle her düzeyde okur kitlesine seslenmeyi ışığında (kılavuzluğunda) planlamalar yapılırken öncelediğine IV doğayla temasın sağlanacağı unsurların bu planlara C)Seçtiği temalarla mevcut ve potansiyel okurlarını ayrıştırdığına dâhil edilmesinin (içine katılmasının) önemi V D)Sahiplendiği okurların duyarlılığını eserleriyle ortaya çıkıyor. geliştirmeye çalıştığına Bu parçada numaralanmış sözlerden hangisinin E) Yazılarıyla bütün okurların beğenisini kazanmayı anlamı parantez ( ) içinde verilen açıklamayla amaçladığına uyuşmamaktadır?,,,,,,TYT Türkçe,,Türkçe
"Kimi yazarlar romanın toplum hayatındaki aksaklıkların I ortadan kalkmasına yardım etmesini, ---- isterken kimileri olduğumuzu ve tanıdığımızı anlatmak isteriz. ise romanın bir toplum bilimi kitabı değil bir sanat eseri olduğunu, ondan ancak ---- beklenebileceğini ileri Gözü dönmek deyimi, aşırı istek veya öfke nedeniyle sürer. II Bu cümlede boş bırakılan yerlere sırasıyla kişinin saldıracak duruma gelmesini belirtir. aşağıdakilerden hangisi getirilmelidir? Göz kulak olmak, bir kimseyi veya nesneyi görüp",I B) II C)III D)IV E) V 1 Diğer sayfaya geçiniz. 2024-TYT/TÜR,gerçekleri yansıtmasını - kılavuzluk yapmasının IV veya durumu dikkatinden kaçırmak eylemini gösterir. C)güzellikleri anlatmasını - kusursuz dil kullanımının Göz açtırmamak ise birinin bir iş yapmasına fırsat D)ironiyi öne çıkarmasını - iyi bir anlatımın V vermemeyi ifade eder.,,,geleneği aktarmasını - mantıksal bir akışın Bu parçada numaralanmış deyimlerden hangisinin açıklaması yanlıştır?,,,TYT Türkçe,,Türkçe
"Günümüzde yeni bir pencere açmak, eskinin boşluğuna dokunmakla mümkündür. Aşağıdakilerden hangisi bu cümleyle anlamca aynı doğrultudadır?","Yeni fikirler, gelenekle kurulan sürekliliği kopararak var olur.","Özgün düşünceler, geçmişte önemsenmeyenler keşfedilerek ortaya çıkar. C)Eskinin bıraktığı değerler, taşımakla yükümlü olunan kalıcı bir mirastır. D)Çağdaş bakış açısı, zihindeki geleneksel kodları yıkıma uğratır.",,,"Kendine yeni bir alan açmak, mevcut düşünceleri özümsemekle gerçekleşir. 2 Diğer sayfaya geçiniz. 2024-TYT/TÜR",,,TYT Türkçe,,Türkçe
"Yaklaşık yedi milyon nüfusa sahip Hong Kong’da 21. Sherlock Homeless ile Nasıl Tanıştım? kelime yılda iki binden fazla yaya, trafik kazası geçiriyor. oyunlarıyla dolu bir eser. Kitap daha en başta ismiyle Bu oran, akıllı telefonların kullanılmasına bağlı olarak bile okuru bir oyunun içine çekiyor. Kitaba ilk göz gün geçtikçe artıyor çünkü insanlar karşıdan karşıya attığımda dedektif Sherlock Holmes’u okuyacağımı geçerken telefonlarına bakmaya devam ediyor. düşündüm. Tabii kitabın ismini yanlış okuduğumu Bu duruma çare arayan yetkililer, çözümü yaya sayfaları karıştırdıktan sonra fark ettim. Oysaki ben, geçitlerindeki işaret sistemini değiştirmekte buldu. Holmes’u değil “evsiz” anlamına gelen “Homeless”ı Tasarlanan bu sistemde yaya geçiş ışıkları zemine okuyacaktım. Yazar, kitabındaki on bir öyküsünde yansıtılıyor. Böylece karşıdan karşıya geçmek isteyen bilindik ifadelere ufak dokunuşlar yaparak, bunları farklı yayalar, kendileri için yeşil mi yoksa kırmızı mı yandığını anlamlara dönüştürerek okurundan uyanık ve özenli bir anlıyor. Henüz deneme aşamasındaki sistemin başarılı ikinci bakış bekliyor. Bu kelime oyunlarında yazarın olması durumunda ülke genelinde yaygınlık kazanacağı “İs bırakanlar unutulmaz.” ve “Ezberimde gül oya.” bekleniyor. şeklindeki cümlelerde olduğu gibi bazen bir kelime bazen de sadece bir harf değiştirmesi yeterli oluyor. Bu parçada söz edilen sistemin geliştirilme amacı aşağıdakilerden hangisidir? Bu parçada söz edilen yazarla ilgili aşağıdakilerin hangisine değinilmemiştir?",Akıllı telefon teknolojisi aracılığıyla yayalara güvenli bir trafik ortamı sunmak A) Bir dilsel unsur olarak söz oyunlarının öykülerindeki kullanımına,"Yayaların, karşıdan karşıya geçerken akıllı telefonlarına bakmalarının önüne geçmek B) Öykü kitabına okurun ilgisini çekecek biçimde bir başlık koyduğuna C)Yayaların, akıllı telefonlarını kullanırken trafik kurallarını takip etmelerini sağlamak C)Kendine özgü anlatımını kitabındaki tek bir öyküyle sınırlamadığına D)Yayaların karıştığı kazaların nedenlerini bulmak için akıllı telefonlardan yararlanmak D)Okurunu sözcüklere hatta harflere dikkatle odaklanmaya davet ettiğine",,,Akıllı telefon kullanımının kazaya neden olduğuna dair yayaları bilinçlendirmek E) Öykülerinde yerel kültürü yansıtan sözel anlatı kalıpları kullandığına,,,TYT Türkçe,,Türkçe
"Biz fark etsek de etmesek de yapay zekâ artık 25. Yazarın en büyük başarılarından biri eserlerinde hayatımızın bir parçası. Bu teknoloji sayesinde kendi üçüncüşahıs anlatımı kullanmasıdır. Burada anlatıcı; kendine park eden otomobillere, akıllı sensörlerin karakterlerinbütün zihinsel durumlarını, yaşadıklarını, yardımıyla çekilen muhteşem fotoğraflara kavuştuk. yönelimlerini bilmekte ve okura anlatmaktadır. Böylelikle Benzer şekilde eğitimde de yapay zekânın etkisi gün anlatıcı, duygu ve düşüncelerini karakterlerin de okurun geçtikçe daha çok hissediliyor ve geleneksel yöntemler da yüzüne açıkça dile getirebilmektedir. Geçmiş, şimdi büyük ölçüde farklılaşıyor. Eğitimciler, psikologlar ve ve geleceğin iç içe olduğu üçüncü şahıs anlatım, birinci ebeveynler arasında çocuklarımız için doğru ekran tekil şahsın imkânlarını da kullanarak her yönüyle hâkim süresi hakkında tartışmalar sürerken eğitimin şeklini ve bir bakış sunar. Böylece okur, karakterlerin hayatlarına geleceğini değiştiren yapay zekâ; dünyanın önde gelen ve akıllarından geçirdiklerine tanıklık edebilmektedir. ülkelerinde oyunun kurallarını belirlemeye başladı bile. Bu parçada söz edilen anlatıcıylailgili aşağıdakilerin Konuyla ilgili raporlara baktığımızda yapay zekânın hangisi söylenebilir? eğitimdeki yerinin yakın gelecekte çok büyük oranlara ulaşacağı görülüyor.",Bazı sektörlerde insana bağımlılığı azaltacağına okura aktarır.,Eğitim alanında daha fazla gelişim gösterdiğine C)İç çatışmalara yer vererek karakterleri tüm boyutlarıyla ele alır. C)Çocukların gelişimi üzerinde olumsuz etkilerinin olduğuna D)Kişilerin bilinmeyen yönlerini ortaya çıkararak eseri başarıya ulaştırır. D)Eğitimde kullanımının öğrenci başarısına katkı sağladığına E) Karakterleri arka planda tutarak okurun olaya odaklanmasını hedefler.,,,Eğitimde alışılagelmiş anlayışlarda değişikliğe yol açtığına,,,TYT Türkçe,,Türkçe
"İzmir dokuma imalatı; XVI ve XVII. yüzyıllarda pamuk 27. Özgünlük genellikle insanın kendisi olmasını içeren bir ipliği, pamuklu dokuma, çarşaf, gömlek ve keten bezi durum olarak görülür. Peki, özgünlük değişimi engelliyor üretimiyle ön plana çıkmıştır. XIX. yüzyıla kadar bu ve herkesi yerinde saymaya teşvik ediyorsa... İşte bunu ürünlerin geleneksel tarzda üretimi yapılmıştır. Zamanla sorgulamamız gerekir. İnsan, bazen amaçlarına ulaşmak şehrin kalabalıklaşması ve ticaret hacminin artması, seri için bir süreliğine maske takmak zorunda kalabilir. üretimin yapıldığı fabrikalaşmaya doğru ilk adımların Benzer şekilde özgünlük de insanları olduğu gibi atılmasını da beraberinde getirmiştir. Pamuk fabrikasının kalmaya ve başka perspektiflerden fikirleri görmezden açılması, boyahane ve basmahanelerin kurulması bu gelmeye itebilir. Bu bakımdan insanın benliğine olduğu adımlardandır. Ayrıca XIX. yüzyıla ait haritalarda hâliyle sadık kalmasının, dönüşebileceği her şeyden Boyahane Deresi’nin etrafında kümelenmiş yapıların kendini soyutlamasıyla eş değer olduğu söylenebilir. yer alması, şehirdeki tekstil ürünü boyamacılığının dere Bu parçadan aşağıdakilerin hangisine ulaşılabilir? etrafında yaygın olduğunu gösteren önemli bir kanıttır. Boyahanelerde bitkisel boyalar üretilmiş; “alizarin” veya",Geleneksel üretim metotları şehirdeki ticaret hacmini C)Doğru olduğuna inandığı şeyi kendi isteğiyle yapan sınırlandırmıştır. birey başarılı olabilir.,"Şehir nüfusunun artmasıyla birlikte fabrikasyon üretime D)İnsanın istekleri doğrultusunda kişiliğinden ödün geçiş sağlanmıştır. vermesi onu tutarsızlaştırır. C)Dokuma kumaşlarının üretimi şehrin belli bir E) İnsanın özgün olma uğruna yaptıkları, onu değişime bölgesinde yoğunlaşmıştır. kapalı bir hâle getirebilir. D)Farklı kumaş türlerinin üretimi sırasında birden fazla teknik kullanılmıştır.",,,Oluşturduğu modelle farklı sektörlerin gelişmesine ilham kaynağı olmuştur. 8 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Türkçe,,Türkçe
"Günlükler, bir yaşama dair en mahrem ve saygın 33. 1980’lerde yapılan Türk filmlerinde eve ve ev içine kayıtlardır. Bir günlüğü ele geçirdiğinizde belki bir yönelik bir merak vardı. İnsanın mekânla ilişkisini yaşamın bir kısmını belki de tamamını elde etmiş yansıtmaktan olabildiğince uzak, doğallıktan yoksun ev olursunuz. Açılan her sayfa size yeni ve gerçekçi bir görüntülerini içeren yığınla film çekildi o zaman. Eşyanın hayat sunar. Hayat kesitlerindeki sahicilik ve içtenlikten bir dekor olarak kaldığı, kameranın uzun uzun içinde dolayı yazarla empati kurmanız tamamen olağandır. Bu dolaştığı, duvarlarına manidar tabloların asıldığı, yönüyle günlük, romanı andırsa da onun kurgusal yukarıdan çekilmiş merdiven sahnelerinin yer aldığı atmosferinden uzak olduğu için kendine has tarza sahip evler... Bunun üç nedeni vardı: Her şeyden önce mekân, edebî türdür. Türk sineması için yeni keşfedilen dolayısıyla da görüntü değeri yüksek bir malzemeydi. İkincisi; bu görüntüler Bu parçaya göre günlüklerle ilgili aşağıdakilerden dönemin mahremiyetini görünür kılma, iç dünyaları hangisi söylenemez? gözetleme ihtiyacına cevap veriyordu. Üçüncüsü ise",Gizemli yönleriyle insanların dikkatini çeken metinler yönetmenlerin belli bir estetik duygusu oluşturmak için arasında yer alır. gerekli olan sembolizmi mekân görüntüleriyle sağlama çabalarıydı.,"Hayatı samimi biçimde ve doğrudan yansıtmasıyla Bu parçada aşağıdakilerin hangisine öne çıkar. değinilmemiştir? C)Yazarın özel hayatından kesitleri özgün bir üslupla A) Türk sinema tarihinde mekân anlayışının nasıl aktarır. dönüştüğüne D)İçerdiği bilgiler sayesinde okurun yazarla etkileşim B) Filmlerdeki mekân tasvirlerinin, döneminin anlayışına kurmasını sağlar. cevap verdiğine",,,Filmlerdeki iç mekân tasarımlarının estetik kaygı ile olan ilişkisine 10 Diğer sayfaya geçiniz. 2024-TYT/TÜR 35 - 36. soruları aşağıdaki parçaya göre,,,TYT Türkçe,,Türkçe
Bu parçada blues ile ilgili aşağıdakilerin hangisine değinilmemiştir?,Tarih içerisinde gösterdiği gelişime,Ortaya çıkış zamanının belirsizliğine C)Temsil ettiği duyguların çeşitliliğine D)İcra edilmesinde kullanılan aletlere,,,Bestelerinin ilham verdiği milletlere,,,TYT Türkçe,,Türkçe
"İzmir’in işgalinin ertesi günü Denizli Müftüsü Ahmet 6. Doğal sistemleri oluşturan dört temel ortamdan biri olan Hulusi Efendi “Her ne pahasına olursa olsun Yunanlara atmosferin, yeryüzündeki canlı ve cansız unsurlar karşı koymak gerekir. (…) Ben fetva veriyorum. Silah ve üzerinde çeşitli etkileri bulunmaktadır. cephane azlığı veya yokluğu hiçbir zaman kavgaya mani Buna göre olmayacaktır. Hiçbir müdafaa vasıtası olmayan bir Müslüman dahi yerden üç taş alarak düşmana atmaya I. Canlı yaşamı için gerekli olan gaz bileşenlerini mecburdur.” diyerek halkı mücadeleye çağırmıştır. sağlar. Buna göre aşağıdakilerden hangisi söylenebilir? II. Güneş enerjisinin doğrudan yeryüzüne ulaşmasını sağlar.",Yunan ordusunun İzmir’den çekilmesi için İtilaf III.Gök taşlarının yeryüzüne ulaşmasını büyük Devletleri ile iş birliği yapıldığı oranda engeller.,Mondros Mütarekesi sonrasında başlayan işgallere ifadelerinden hangileri bu etkilere örnek karşı ilk direnişin Denizli’de başladığı gösterilemez? C)İmkânsızlıklara rağmen işgal güçlerine karşı mücadele A)Yalnız I B)Yalnız II C)Yalnız III edilmesi gerektiği D)I ve II E)II ve III D)Damat Ferit Hükûmetinin işgallere karşı din adamlarını halkı örgütlemekle görevlendirdiği,,,İtilaf Devletlerinin işgallerin geçici olduğu yönündeki açıklamalarının halkı sakinleştirdiği,,,TYT Sosyal,,Sosyal Bilimler
"Peyam-ı Sabah gazetesi muhabirinin “Lozan Barış Konferansı’na İstanbul Hükûmetinden bir heyet gidecek mi?” şeklindeki sorusuna Refet Paşa, “Mudanya Mütarekesi yalnız TBMM Hükûmeti adına imza edildi. Binaenaleyh bu defa da konferansta Türk Devleti’ni yalnız bu devletin yegâne meşru hükûmeti olan TBMM Hükûmeti temsil edebilir.” cevabını vermiştir. Lozan Konferansı öncesinde TBMM’nin aldığı ve Refet Paşa’nın bu görüşüyle aynı doğrultuda olan karar aşağıdakilerden hangisidir?",I B) II C)III D)IV E) V 15 Diğer sayfaya geçiniz. 2024-TYT/SOS,Saltanat sistemine son verilmesi C)Kabine sistemine geçilmesi D)Milletvekili seçimlerine gidilmesi,,,Takrir-i Sükûn Kanunu’nun çıkarılması Dağılışı gösterilen bu bitkiler haritada numaralandırılan alanların hangisinde görülür?,,,TYT Sosyal,,Sosyal Bilimler
